trade_id,symbol,timeframe,side,contracts,entry_price,exit_price,points,multiplier,pnl,entry_time,exit_time
1,MNQ1!,15,SHORT,1,29494.25,29496.25,-2.0,2,-4.0,2026-06-26T14:45:02.226222+00:00,2026-06-26T14:45:15.498798+00:00
2,MNQ1!,15,SHORT,1,29445.5,29423.5,22.0,2,44.0,2026-06-26T15:15:05.288965+00:00,2026-06-26T15:15:19.701188+00:00
3,MNQ1!,15,LONG,1,29592.0,29617.0,25.0,2,50.0,2026-06-26T15:30:03.263021+00:00,2026-06-26T15:30:27.488313+00:00
4,MNQ1!,15,LONG,1,29577.75,29578.0,0.25,2,0.5,2026-06-29T14:45:12.500276+00:00,2026-06-29T14:49:48.492360+00:00
5,MNQ1!,15,LONG,1,29714.0,29712.5,-1.5,2,-3.0,2026-06-29T15:00:05.621044+00:00,2026-06-29T15:00:21.504915+00:00
6,MNQ1!,15,LONG,1,29724.5,29727.0,2.5,2,5.0,2026-06-29T15:15:02.482910+00:00,2026-06-29T15:15:14.413733+00:00
7,MNQ1!,15,LONG,1,29770.0,29779.25,9.25,2,18.5,2026-06-29T15:30:02.622013+00:00,2026-06-29T15:30:19.298254+00:00
